w,s,p,T,avg_age,max_age
1,1,0.05,300,9.6296521594685,52.2283
2,1,0.05,300,9.074694352159442,50.8772
2,2,0.05,300,9.445485049833847,52.0235
3,1,0.05,300,9.192992026578109,51.5205
3,2,0.05,300,9.009644850498345,50.9709
3,3,0.05,300,9.237091362126277,51.4938
4,1,0.05,300,8.601152491694345,50.1883
4,2,0.05,300,7.930782392026593,48.1524
4,3,0.05,300,8.543910963455174,49.9483
4,4,0.05,300,8.909719269102993,50.8019
5,1,0.05,300,8.776744186046514,50.5477
5,2,0.05,300,8.44343355481726,49.8117
5,3,0.05,300,7.80288903654483,48.236
5,4,0.05,300,8.262523920265785,49.0871
5,5,0.05,300,8.726592026578087,50.3759
6,1,0.05,300,8.093110963455146,48.8336
6,2,0.05,300,7.768162126245805,47.9771
6,3,0.05,300,6.860537873754138,44.5947
6,4,0.05,300,7.556094684385394,47.2161
6,5,0.05,300,7.965747508305648,48.5745
6,6,0.05,300,8.28728903654485,49.2545
7,1,0.05,300,8.413875747508278,49.807
7,2,0.05,300,6.960802657807324,45.2518
7,3,0.05,300,7.47972956810629,47.239
7,4,0.05,300,6.801183720930227,45.1217
7,5,0.05,300,7.173612292358771,46.1191
7,6,0.05,300,7.72830598006647,47.635
7,7,0.05,300,8.147126910299,48.775
8,1,0.05,300,7.574302990033241,47.0529
8,2,0.05,300,7.4919823920265785,47.243
8,3,0.05,300,6.975138870431877,46.0729
8,4,0.05,300,5.916920930232586,41.1796
8,5,0.05,300,6.58649401993358,44.1929
8,6,0.05,300,7.000863122923588,45.5797
8,7,0.05,300,7.501465780730902,47.2052
8,8,0.05,300,7.8967458471760725,48.1474
9,1,0.05,300,7.986206644518285,48.697
9,2,0.05,300,6.936574750830572,45.4455
9,3,0.05,300,6.178824584717601,42.809
9,4,0.05,300,6.728100996677745,44.9415
9,5,0.05,300,5.877673754152811,41.6599
9,6,0.05,300,6.223134219269116,43.0076
9,7,0.05,300,6.782204983388675,44.9683
9,8,0.05,300,7.2687996677740845,46.625
9,9,0.05,300,7.665000996677708,47.4218
10,1,0.05,300,7.227604983388707,46.1482
10,2,0.05,300,6.271680066445183,42.8089
10,3,0.05,300,5.6476156146179495,40.2561
10,4,0.05,300,6.1253740863787485,42.9927
10,5,0.05,300,5.251251827242511,38.2537
10,6,0.05,300,5.660204318936898,40.6522
10,7,0.05,300,6.116829235880407,42.5963
10,8,0.05,300,6.467504651162794,43.8891
10,9,0.05,300,7.06885215946844,45.9867
10,10,0.05,300,7.467834883720914,47.1776
11,1,0.05,300,7.6113498338870675,47.7582
11,2,0.05,300,6.876172757475107,45.5322
11,3,0.05,300,6.227707641196008,43.4768
11,4,0.05,300,5.656793687707644,41.1274
11,5,0.05,300,5.700786046511657,41.3363
11,6,0.05,300,5.247426910298984,39.1457
11,7,0.05,300,5.329954152823919,39.2254
11,8,0.05,300,5.872798338870433,41.7389
11,9,0.05,300,6.208962126245869,42.9044
11,10,0.05,300,6.881137541528234,45.3749
11,11,0.05,300,7.147265116279081,46.0632
12,1,0.05,300,6.79677840531563,44.7008
12,2,0.05,300,6.30855448504984,43.4799
12,3,0.05,300,5.772507973421927,41.549
12,4,0.05,300,5.243069435215954,39.083
12,5,0.05,300,5.3733926910299,39.7687
12,6,0.05,300,4.533665448504992,34.9589
12,7,0.05,300,4.896374750830573,37.1111
12,8,0.05,300,5.190988704318927,38.5821
12,9,0.05,300,5.6935943521594625,40.9085
12,10,0.05,300,6.0545870431893665,42.3749
12,11,0.05,300,6.600170764119609,44.5504
12,12,0.05,300,7.033873421926927,45.862
13,1,0.05,300,7.341176744186044,46.8598
13,2,0.05,300,5.68708837209301,40.3404
13,3,0.05,300,5.283705315614635,39.2616
13,4,0.05,300,4.6727823920265745,35.7717
13,5,0.05,300,4.948275415282385,37.9388
13,6,0.05,300,5.3042079734219465,39.3756
13,7,0.05,300,4.523572425249172,35.3151
13,8,0.05,300,4.724425249169416,36.1077
13,9,0.05,300,5.092527242524925,38.182
13,10,0.05,300,5.5290392026578035,40.1428
13,11,0.05,300,5.764800664451822,41.2684
13,12,0.05,300,6.506321262458453,44.1682
13,13,0.05,300,6.816688039867125,45.0196
14,1,0.05,300,6.5443009966777375,43.8359
14,2,0.05,300,6.257141528239216,43.4741
14,3,0.05,300,4.655477408637867,35.8186
14,4,0.05,300,5.184642524916929,39.1795
14,5,0.05,300,4.458372093023239,35.551
14,6,0.05,300,4.887688039867128,37.5873
14,7,0.05,300,4.0787289036544845,32.3188
14,8,0.05,300,4.4105272425249105,34.2856
14,9,0.05,300,4.62460066445182,35.6066
14,10,0.05,300,4.940961129568155,37.5076
14,11,0.05,300,5.3304471760797245,39.2986
14,12,0.05,300,5.664254152823915,40.7167
14,13,0.05,300,6.206592026578072,42.9592
14,14,0.05,300,6.622938205980099,44.4129
15,1,0.05,300,7.082449833887015,46.0342
15,2,0.05,300,5.753106312292364,41.311
15,3,0.05,300,5.34133588039868,40.0343
15,4,0.05,300,5.038300332225891,38.6108
15,5,0.05,300,4.178437541528248,33.5775
15,6,0.05,300,4.4621654485049715,35.3491
15,7,0.05,300,4.62772691029902,36.0565
15,8,0.05,300,4.123232890365446,32.9106
15,9,0.05,300,4.171491029900337,32.8831
15,10,0.05,300,4.551280730897001,35.196
15,11,0.05,300,4.810271096345511,36.6611
15,12,0.05,300,5.146110963455174,38.4069
15,13,0.05,300,5.552732225913613,40.2245
15,14,0.05,300,6.017242192691017,42.3319
