w,s,p,T,avg_age,max_age
1,1,0.4,300,1.245159136212645,9.6856
2,1,0.4,300,1.167303654485073,9.4036
2,2,0.4,300,1.1934707641196212,9.5175
3,1,0.4,300,1.1846142857143056,9.487
3,2,0.4,300,1.029558139534887,8.8981
3,3,0.4,300,1.0973893687707759,9.2102
4,1,0.4,300,1.1299614617940397,9.1709
4,2,0.4,300,0.9701614617940085,8.2256
4,3,0.4,300,0.9921498338870298,8.6782
4,4,0.4,300,1.0489199335548214,8.9671
5,1,0.4,300,1.1454368770764307,9.3639
5,2,0.4,300,0.9603684385381921,8.6034
5,3,0.4,300,0.8125451827242213,6.7506
5,4,0.4,300,0.9057036544850283,8.28
5,5,0.4,300,0.9601083056478221,8.5889
6,1,0.4,300,1.1141299003322411,9.0696
6,2,0.4,300,0.9044933554817038,7.9696
6,3,0.4,300,0.8437857142856814,7.0896
6,4,0.4,300,0.8252541528238883,6.7621
6,5,0.4,300,0.8849076411959843,8.081
6,6,0.4,300,0.9300009966777217,8.4186
7,1,0.4,300,1.1252102990033381,9.2367
7,2,0.4,300,0.8669588039866815,7.7105
7,3,0.4,300,0.793251827242497,6.7112
7,4,0.4,300,0.7555857142856869,5.6192
7,5,0.4,300,0.7795498338870183,6.2428
7,6,0.4,300,0.8275980066444918,7.6914
7,7,0.4,300,0.8778980066444941,7.9115
8,1,0.4,300,1.1056435215947,9.0398
8,2,0.4,300,0.8659049833886802,7.8074
8,3,0.4,300,0.7540182724252221,5.8768
8,4,0.4,300,0.7558358803986435,5.9134
8,5,0.4,300,0.7589867109634216,5.3605
8,6,0.4,300,0.7625488372092728,6.1412
8,7,0.4,300,0.798181063122898,7.2043
8,8,0.4,300,0.8429598006644216,7.4226
9,1,0.4,300,1.1100694352159626,9.2373
9,2,0.4,300,0.8188574750830259,7.3744
9,3,0.4,300,0.7357767441860216,5.4264
9,4,0.4,300,0.7394415282391756,5.9246
9,5,0.4,300,0.7204262458471513,4.8221
9,6,0.4,300,0.7323604651162535,5.4197
9,7,0.4,300,0.7414132890365185,5.6188
9,8,0.4,300,0.7666166112956544,6.5753
9,9,0.4,300,0.8087186046511351,6.8214
10,1,0.4,300,1.0921986710963496,9.017
10,2,0.4,300,0.8137053156145891,7.2549
10,3,0.4,300,0.7297209302325312,5.3049
10,4,0.4,300,0.7151059800664199,4.8777
10,5,0.4,300,0.7179943521594453,5.0385
10,6,0.4,300,0.7159946843853567,4.9729
10,7,0.4,300,0.7230694352159215,5.2091
10,8,0.4,300,0.7234717607973142,5.3136
10,9,0.4,300,0.748821594684364,6.1903
10,10,0.4,300,0.7854176079733963,6.3966
11,1,0.4,300,1.09976445182725,9.1988
11,2,0.4,300,0.799444850498316,7.2785
11,3,0.4,300,0.7086076411959888,4.6492
11,4,0.4,300,0.6847750830564592,4.3381
11,5,0.4,300,0.7047245847175876,4.5408
11,6,0.4,300,0.6793877076411778,4.4662
11,7,0.4,300,0.6970501661129346,4.6965
11,8,0.4,300,0.6956093023255592,4.7437
11,9,0.4,300,0.6996282392026372,4.8525
11,10,0.4,300,0.7292727574750592,5.8434
11,11,0.4,300,0.7549019933554572,5.7521
12,1,0.4,300,1.0918279069767447,9.0495
12,2,0.4,300,0.7853704318936626,6.9378
12,3,0.4,300,0.7030651162790524,4.6051
12,4,0.4,300,0.6909199335547959,4.4817
12,5,0.4,300,0.6924166112956593,4.4011
12,6,0.4,300,0.6852750830564596,4.6046
12,7,0.4,300,0.6857601328903469,4.546
12,8,0.4,300,0.6927724252491466,4.7404
12,9,0.4,300,0.6921395348837008,4.7931
12,10,0.4,300,0.709340531561441,5.1093
12,11,0.4,300,0.7097654485049637,5.3067
12,12,0.4,300,0.740091362126222,5.5457
13,1,0.4,300,1.0952189368770824,9.2161
13,2,0.4,300,0.7701930232557873,6.8797
13,3,0.4,300,0.692055149501639,4.1623
13,4,0.4,300,0.6776817275747348,4.3942
13,5,0.4,300,0.6789900332225736,4.0789
13,6,0.4,300,0.6763524916943379,4.6463
13,7,0.4,300,0.6722740863787198,4.2046
13,8,0.4,300,0.6805897009966625,4.7922
13,9,0.4,300,0.6875202657807096,4.7821
13,10,0.4,300,0.688283720930211,4.8631
13,11,0.4,300,0.6811019933554634,4.4681
13,12,0.4,300,0.7074368770763911,5.3888
13,13,0.4,300,0.723763787375391,5.2137
14,1,0.4,300,1.0887740863787465,9.1025
14,2,0.4,300,0.7679069767441619,6.8255
14,3,0.4,300,0.6865568106312111,3.9557
14,4,0.4,300,0.6729790697674283,4.0674
14,5,0.4,300,0.6734999999999817,3.9499
14,6,0.4,300,0.6647428571428435,4.2283
14,7,0.4,300,0.6719295681062953,4.3854
14,8,0.4,300,0.6740704318936718,4.4043
14,9,0.4,300,0.6735235880398497,4.6171
14,10,0.4,300,0.6760840531561274,4.5076
14,11,0.4,300,0.6692149501660962,4.3018
14,12,0.4,300,0.6875817275747339,4.7668
14,13,0.4,300,0.6758106312292189,4.438
14,14,0.4,300,0.7147315614617701,5.074
15,1,0.4,300,1.091341528239208,9.2283
15,2,0.4,300,0.7476461794019685,6.6248
15,3,0.4,300,0.6805518272425106,3.8402
15,4,0.4,300,0.6588797342192514,3.9608
15,5,0.4,300,0.6646707641195871,3.8474
15,6,0.4,300,0.6519551495016505,4.1438
15,7,0.4,300,0.6651727574750687,4.2428
15,8,0.4,300,0.6526029900332082,4.1753
15,9,0.4,300,0.6656544850498191,4.3689
15,10,0.4,300,0.6583229235880241,4.3255
15,11,0.4,300,0.6754538205979901,4.7311
15,12,0.4,300,0.673766777408619,4.6907
15,13,0.4,300,0.6854179401993138,4.8299
15,14,0.4,300,0.674277408637858,4.5732
15,15,0.4,300,0.69430730897008,4.6903
16,1,0.4,300,1.084504318936886,9.1572
16,2,0.4,300,0.743327242524895,6.5118
16,3,0.4,300,0.6794843853820388,3.7293
16,4,0.4,300,0.6589578073089576,3.9116
16,5,0.4,300,0.6658066445182561,3.9786
16,6,0.4,300,0.6520568106312118,3.9961
16,7,0.4,300,0.6552750830564597,4.0584
16,8,0.4,300,0.654219933554803,4.1257
16,9,0.4,300,0.6553790697674265,4.1979
16,10,0.4,300,0.6553033222591202,4.1721
16,11,0.4,300,0.6627607973421785,4.5198
16,12,0.4,300,0.6674385382059649,4.5089
16,13,0.4,300,0.6740747508305455,4.7451
16,14,0.4,300,0.6638445182724093,4.2114
16,15,0.4,300,0.6848352159468271,5.0322
16,16,0.4,300,0.7015717607973246,5.0574
17,1,0.4,300,1.0926292358804017,9.282
17,2,0.4,300,0.7339481727574503,6.4688
17,3,0.4,300,0.6714518272425054,3.4324
17,4,0.4,300,0.6524112956810489,3.8972
17,5,0.4,300,0.6577355481727434,3.7575
17,6,0.4,300,0.6359674418604536,3.8131
17,7,0.4,300,0.6478196013288904,3.7925
17,8,0.4,300,0.6429139534883606,3.9838
17,9,0.4,300,0.6457850498338772,3.9205
17,10,0.4,300,0.6399621262458349,3.9337
17,11,0.4,300,0.6571186046511471,4.353
17,12,0.4,300,0.6471196013288911,4.2388
17,13,0.4,300,0.6606710963455009,4.5198
17,14,0.4,300,0.6491488372092891,4.077
17,15,0.4,300,0.6722588039866918,4.7117
17,16,0.4,300,0.6662129568106174,4.6279
17,17,0.4,300,0.6939096345514719,4.9432
18,1,0.4,300,1.0883495016611349,9.3024
18,2,0.4,300,0.7272800664451619,6.3003
18,3,0.4,300,0.6698289036544677,3.4612
18,4,0.4,300,0.6509488372092903,3.7804
18,5,0.4,300,0.6547933554817179,3.6683
18,6,0.4,300,0.6379056478405193,3.8323
18,7,0.4,300,0.6407953488371991,3.7257
18,8,0.4,300,0.6387421926910197,3.7713
