w,s,p,T,avg_age,max_age
1,1,0.15,300,3.2864325581395315,23.2822
2,1,0.15,300,2.9271774086378644,22.4229
2,2,0.15,300,3.1155421926910316,22.935
3,1,0.15,300,2.9950724252491554,22.7148
3,2,0.15,300,2.7543538205980136,22.0587
3,3,0.15,300,2.9272411960132914,22.4461
4,1,0.15,300,2.640948837209308,21.5088
4,2,0.15,300,2.2857794019933593,19.9338
4,3,0.15,300,2.5564249169435307,21.443
4,4,0.15,300,2.7509242524917052,22.0575
5,1,0.15,300,2.7548631229235987,21.9307
5,2,0.15,300,2.5070222591362086,21.3361
5,3,0.15,300,2.066523920265784,19.3317
5,4,0.15,300,2.3992285714285595,20.9346
5,5,0.15,300,2.589116279069763,21.4683
6,1,0.15,300,2.4065803986710996,20.4256
6,2,0.15,300,2.1864578073089778,19.916
6,3,0.15,300,1.8658358803986745,17.5709
6,4,0.15,300,1.9782348837209396,18.8321
6,5,0.15,300,2.249914950166109,20.1913
6,6,0.15,300,2.434435548172755,20.9452
7,1,0.15,300,2.5848003322259054,21.6653
7,2,0.15,300,1.9675196013289045,18.441
7,3,0.15,300,1.9695235880398747,19.0855
7,4,0.15,300,1.6904179401993384,17.0447
7,5,0.15,300,1.8384225913621288,18.1067
7,6,0.15,300,2.1277312292358848,19.7927
7,7,0.15,300,2.3196873754152776,20.5132
8,1,0.15,300,2.292818272425254,19.9298
8,2,0.15,300,2.107578073089711,19.8251
8,3,0.15,300,1.7647066445182769,17.8925
8,4,0.15,300,1.5345049833887026,15.1939
8,5,0.15,300,1.5976289036544873,15.9977
8,6,0.15,300,1.7710338870431952,17.6566
8,7,0.15,300,2.024188704318943,19.2509
8,8,0.15,300,2.192671428571436,19.9988
9,1,0.15,300,2.4106249169435285,20.7999
9,2,0.15,300,1.876194684385381,18.3643
9,3,0.15,300,1.5304046511627956,15.8757
9,4,0.15,300,1.7021730897010021,17.46
9,5,0.15,300,1.394599667774077,14.024
9,6,0.15,300,1.528517275747509,15.4863
9,7,0.15,300,1.6732737541528278,16.9881
9,8,0.15,300,1.9006990033222635,18.5706
9,9,0.15,300,2.076958803986707,19.552
10,1,0.15,300,2.1668661129568134,19.302
10,2,0.15,300,1.7266398671096417,17.0286
10,3,0.15,300,1.4456880398671013,14.8886
10,4,0.15,300,1.4824328903654431,15.6617
10,5,0.15,300,1.3484418604651138,13.5762
10,6,0.15,300,1.3430229235880373,13.2891
10,7,0.15,300,1.4687149501661174,14.9886
10,8,0.15,300,1.6004136212624545,16.4735
10,9,0.15,300,1.8134714285714297,18.0995
10,10,0.15,300,1.96172956810631,18.9018
11,1,0.15,300,2.283384385382058,20.3977
11,2,0.15,300,1.844627906976745,18.5416
11,3,0.15,300,1.4874335548172706,16.0329
11,4,0.15,300,1.3357993355481674,14.334
11,5,0.15,300,1.3503601328903638,14.0654
11,6,0.15,300,1.2219225913621168,12.1484
11,7,0.15,300,1.278563455149498,12.4136
11,8,0.15,300,1.399952159468427,14.5004
11,9,0.15,300,1.5083013289036458,15.7623
11,10,0.15,300,1.7542637873754179,17.7764
11,11,0.15,300,1.8495508305647854,18.3777
12,1,0.15,300,2.0691531561461796,18.7776
12,2,0.15,300,1.6613681063122974,17.0326
12,3,0.15,300,1.3779986710963363,14.8234
12,4,0.15,300,1.2385411960132782,12.8526
12,5,0.15,300,1.261816943521591,13.0904
12,6,0.15,300,1.2009531561461708,11.9874
12,7,0.15,300,1.1945800664451727,11.5301
12,8,0.15,300,1.2494488372092891,12.4476
12,9,0.15,300,1.3480727574750784,13.9431
12,10,0.15,300,1.4738913621262446,15.3057
12,11,0.15,300,1.6359787375415291,17.0186
12,12,0.15,300,1.7405345514950121,17.7386
13,1,0.15,300,2.173038205980074,19.7956
13,2,0.15,300,1.573661794019934,16.1358
13,3,0.15,300,1.2489717607973345,13.2886
13,4,0.15,300,1.1922056478405243,12.3759
13,5,0.15,300,1.1696903654484978,11.79
13,6,0.15,300,1.2443009966777316,13.0004
13,7,0.15,300,1.1010219269102943,10.2903
13,8,0.15,300,1.1708946843853736,11.2713
13,9,0.15,300,1.236965116279064,12.39
13,10,0.15,300,1.3126229235880327,13.4782
13,11,0.15,300,1.3744142857142876,14.3823
13,12,0.15,300,1.6080212624584642,16.7354
13,13,0.15,300,1.6768132890365415,17.277
14,1,0.15,300,2.0090219269103136,18.4929
14,2,0.15,300,1.6488840531561428,17.2859
14,3,0.15,300,1.2151348837209182,12.9347
14,4,0.15,300,1.2115172757475061,12.9986
14,5,0.15,300,1.0728837209302218,10.1606
14,6,0.15,300,1.1330717607973355,11.5384
14,7,0.15,300,1.102995348837197,10.7622
14,8,0.15,300,1.0863279069767318,10.1022
14,9,0.15,300,1.1490478405315563,11.0529
14,10,0.15,300,1.1879375415282323,11.9097
14,11,0.15,300,1.2445036544850474,12.734
14,12,0.15,300,1.3768219269102924,14.3861
14,13,0.15,300,1.4905760797342185,15.8301
14,14,0.15,300,1.604174750830553,16.7483
15,1,0.15,300,2.113614950166123,19.5697
15,2,0.15,300,1.5175292358804013,16.0236
15,3,0.15,300,1.2428199335548056,13.537
15,4,0.15,300,1.1475980066445048,12.1088
15,5,0.15,300,1.0258800664451704,9.7519
15,6,0.15,300,1.0569923588039782,10.3968
15,7,0.15,300,1.0910784053156055,10.7241
15,8,0.15,300,1.0314833887043073,9.5473
15,9,0.15,300,1.0633275747508242,9.9756
