w,s,p,T,avg_age,max_age
1,1,0.5,300,0.9948142857142719,7.5635
2,1,0.5,300,0.9940571428571385,7.5659
2,2,0.5,300,0.9941850498338807,7.5962
3,1,0.5,300,0.9938411960132798,7.5871
3,2,0.5,300,0.8659016611295328,7.0508
3,3,0.5,300,0.9119285714285428,7.2887
4,1,0.5,300,0.9921159468438462,7.5678
4,2,0.5,300,0.8496504983388345,6.6676
4,3,0.5,300,0.8506401993355132,6.9193
4,4,0.5,300,0.8848797342192376,7.1912
5,1,0.5,300,0.9940179401993275,7.6332
5,2,0.5,300,0.8175574750830228,6.7682
5,3,0.5,300,0.7235667774086086,4.9922
5,4,0.5,300,0.7691926910298709,6.5764
5,5,0.5,300,0.8118308970099357,6.8344
6,1,0.5,300,0.9937797342192638,7.6092
6,2,0.5,300,0.795702657807272,6.3747
6,3,0.5,300,0.7552192691029606,5.7311
6,4,0.5,300,0.7424355481727262,5.274
6,5,0.5,300,0.7665624584717288,6.3924
6,6,0.5,300,0.8003607973421554,6.5294
7,1,0.5,300,0.9989800664451792,7.6943
7,2,0.5,300,0.7654654485049498,6.2749
7,3,0.5,300,0.712080730896986,4.9709
7,4,0.5,300,0.6893189368770587,4.4472
7,5,0.5,300,0.7023182724252265,4.6911
7,6,0.5,300,0.71932890365446,5.8353
7,7,0.5,300,0.7581946843853521,5.841
8,1,0.5,300,0.9947069767441761,7.6505
8,2,0.5,300,0.7644940199335277,6.2302
8,3,0.5,300,0.6926960132890123,4.3374
8,4,0.5,300,0.6945764119601098,4.652
8,5,0.5,300,0.698628239202633,4.3931
8,6,0.5,300,0.6914810631229015,4.6586
8,7,0.5,300,0.7040069767441632,5.4192
8,8,0.5,300,0.7384867109634276,5.4607
9,1,0.5,300,1.0007524916943482,7.7721
9,2,0.5,300,0.7351833887042876,6.0311
9,3,0.5,300,0.6834877076411755,4.13
9,4,0.5,300,0.6745601328903491,4.5944
9,5,0.5,300,0.6730362126245681,4.0414
9,6,0.5,300,0.6760651162790505,4.5504
9,7,0.5,300,0.6786548172757293,4.3791
9,8,0.5,300,0.6783803986710746,4.8694
9,9,0.5,300,0.7149019933554576,5.0902
10,1,0.5,300,1.0001139534883687,7.7828
10,2,0.5,300,0.7351395348836941,5.919
10,3,0.5,300,0.6813139534883539,4.0271
10,4,0.5,300,0.6705581395348655,3.9948
10,5,0.5,300,0.6691647840531385,4.0899
10,6,0.5,300,0.6671465116278911,4.1895
10,7,0.5,300,0.6693358803986565,4.3088
10,8,0.5,300,0.6686189368770621,4.1652
10,9,0.5,300,0.6689923588039727,4.5394
10,10,0.5,300,0.7001647840531334,4.7695
11,1,0.5,300,1.0038750830564682,7.8524
11,2,0.5,300,0.7164803986710724,5.8787
11,3,0.5,300,0.6667003322258984,3.4317
11,4,0.5,300,0.6444295681062996,3.6631
11,5,0.5,300,0.6622637873753997,3.8175
11,6,0.5,300,0.6362126245847086,3.7625
11,7,0.5,300,0.6520398671096207,3.8845
11,8,0.5,300,0.6459285714285609,3.9555
11,9,0.5,300,0.6491926910298865,3.7948
11,10,0.5,300,0.655183388704309,4.3512
11,11,0.5,300,0.680530232558121,4.4035
12,1,0.5,300,1.001647176079728,7.865
12,2,0.5,300,0.7115611295680802,5.6952
12,3,0.5,300,0.6676305647840344,3.5757
12,4,0.5,300,0.6524631229235751,3.812
12,5,0.5,300,0.6548265780730779,3.7846
12,6,0.5,300,0.6457651162790613,3.9303
12,7,0.5,300,0.6445970099667653,3.8308
12,8,0.5,300,0.6457405315614502,3.9292
12,9,0.5,300,0.6463667774086248,4.0511
12,10,0.5,300,0.6567249169435084,4.1402
12,11,0.5,300,0.6482518272425164,4.1161
12,12,0.5,300,0.6739242524916796,4.3679
13,1,0.5,300,1.0051365448504987,7.9224
13,2,0.5,300,0.6975202657807091,5.6078
13,3,0.5,300,0.6624362126245693,3.2552
13,4,0.5,300,0.6394401993355402,3.7813
13,5,0.5,300,0.6450102990033104,3.5272
13,6,0.5,300,0.634113289036536,3.9393
13,7,0.5,300,0.6353797342192593,3.6025
13,8,0.5,300,0.6364591362126146,4.0197
13,9,0.5,300,0.6432797342192584,4.0022
13,10,0.5,300,0.6391561461793923,4.0955
13,11,0.5,300,0.6368322259136098,3.6755
13,12,0.5,300,0.6437279069767348,4.2248
13,13,0.5,300,0.6608292358803838,4.1453
14,1,0.5,300,1.0055378737541432,7.9495
14,2,0.5,300,0.6968697674418425,5.5488
14,3,0.5,300,0.6594079734219152,3.1811
14,4,0.5,300,0.6416604651162693,3.6038
14,5,0.5,300,0.6433229235880294,3.5144
14,6,0.5,300,0.631061461794012,3.706
14,7,0.5,300,0.6351923588039771,3.7375
14,8,0.5,300,0.6399079734219173,3.8365
14,9,0.5,300,0.6311767441860379,3.8191
14,10,0.5,300,0.6360747508305552,3.8263
14,11,0.5,300,0.6286029900332138,3.6777
14,12,0.5,300,0.6428634551494908,3.9757
14,13,0.5,300,0.6247142857142806,3.4473
14,14,0.5,300,0.6605159468438414,4.1338
15,1,0.5,300,1.0112162790697632,8.0918
15,2,0.5,300,0.6838365448504822,5.4486
15,3,0.5,300,0.6572561461793902,3.0672
15,4,0.5,300,0.6275770764119506,3.5725
15,5,0.5,300,0.6353199335548056,3.3739
15,6,0.5,300,0.6225219269102918,3.7025
15,7,0.5,300,0.6329279069767355,3.6513
15,8,0.5,300,0.6199568106312214,3.6857
15,9,0.5,300,0.6301548172757352,3.779
15,10,0.5,300,0.6199687707641132,3.6833
15,11,0.5,300,0.6342335548172673,3.9511
15,12,0.5,300,0.6298033222591282,3.9858
15,13,0.5,300,0.6394003322259033,4.018
15,14,0.5,300,0.6233129568106238,3.6779
15,15,0.5,300,0.6430252491694249,3.8692
16,1,0.5,300,1.0114973421926856,8.0645
16,2,0.5,300,0.6834717607973241,5.3592
16,3,0.5,300,0.6569176079734048,3.0958
16,4,0.5,300,0.6312936877076325,3.5451
16,5,0.5,300,0.638297009966767,3.5213
16,6,0.5,300,0.6230558139534815,3.5527
16,7,0.5,300,0.6269700996677686,3.5848
16,8,0.5,300,0.6229990033222499,3.6276
16,9,0.5,300,0.621942192691023,3.6465
16,10,0.5,300,0.623207308970093,3.6458
16,11,0.5,300,0.6243714285714195,3.8518
16,12,0.5,300,0.6290750830564721,3.8295
16,13,0.5,300,0.631130232558131,4.0407
16,14,0.5,300,0.6251495016611214,3.5909
16,15,0.5,300,0.6310491694352088,4.0635
16,16,0.5,300,0.6540192691029764,4.2451
17,1,0.5,300,1.0153026578073054,8.1625
17,2,0.5,300,0.6732617940199159,5.3129
17,3,0.5,300,0.6523109634551362,2.8652
17,4,0.5,300,0.6235149501661049,3.5527
17,5,0.5,300,0.632778073089694,3.3528
17,6,0.5,300,0.6092950166112875,3.4139
17,7,0.5,300,0.6210295681063052,3.3724
17,8,0.5,300,0.6106205980066424,3.5531
17,9,0.5,300,0.6148418604651074,3.4556
17,10,0.5,300,0.6084734219269052,3.4685
17,11,0.5,300,0.6223897009966701,3.7443
17,12,0.5,300,0.6121352159468384,3.6584
17,13,0.5,300,0.6255083056478358,3.861
