w,s,p,T,avg_age,max_age
1,1,0.35,300,1.8375740863787167,11.6402
2,1,0.35,300,1.8396136212624457,11.6653
2,2,0.35,300,1.842544518272407,11.6648
3,1,0.35,300,1.8428139534883567,11.6869
3,2,0.35,300,1.6924026578072975,11.3374
3,3,0.35,300,1.737569435215936,11.381
4,1,0.35,300,1.8439013289036374,11.6956
4,2,0.35,300,1.6249029900332144,10.8575
4,3,0.35,300,1.6601980066445197,11.1979
4,4,0.35,300,1.7047760797342093,11.3457
5,1,0.35,300,1.8584571428571257,11.8438
5,2,0.35,300,1.6431916943521467,11.1472
5,3,0.35,300,1.3712956810631423,9.7124
5,4,0.35,300,1.5629926910299012,10.9513
5,5,0.35,300,1.6032591362126196,10.9645
6,1,0.35,300,1.8544823920265607,11.848
6,2,0.35,300,1.587869435215942,10.8729
6,3,0.35,300,1.4501943521594873,9.8575
6,4,0.35,300,1.413441196013304,9.6973
6,5,0.35,300,1.5302996677740834,10.7625
6,6,0.35,300,1.5713382059800658,10.9476
7,1,0.35,300,1.873450498338856,12.1044
7,2,0.35,300,1.5712445182724306,10.8577
7,3,0.35,300,1.37875614617942,9.8949
7,4,0.35,300,1.2914401993355757,8.355
7,5,0.35,300,1.3524388704319135,9.442
7,6,0.35,300,1.4632794019933648,10.6172
7,7,0.35,300,1.4976382059800701,10.6438
8,1,0.35,300,1.874506976744161,12.0964
8,2,0.35,300,1.5705654485049818,10.8948
8,3,0.35,300,1.3233581395349074,9.4781
8,4,0.35,300,1.3103561461794326,8.789
8,5,0.35,300,1.2853730897010325,7.5379
8,6,0.35,300,1.3292083056478678,9.4825
8,7,0.35,300,1.4059235880398884,10.285
8,8,0.35,300,1.4515192691030026,10.3032
9,1,0.35,300,1.8934940199335386,12.4093
9,2,0.35,300,1.5431106312292344,10.7549
9,3,0.35,300,1.2651747508305962,8.7054
9,4,0.35,300,1.3188833887043478,9.1732
9,5,0.35,300,1.2256285714286037,6.8894
9,6,0.35,300,1.2802461794020283,7.858
9,7,0.35,300,1.297372757475109,8.9299
9,8,0.35,300,1.3688411960133045,9.85
9,9,0.35,300,1.4142744186046718,9.7618
10,1,0.35,300,1.8965039867109463,12.4782
10,2,0.35,300,1.5338126245847186,10.6876
10,3,0.35,300,1.2806202657807548,8.9075
10,4,0.35,300,1.2426129568106603,7.9388
10,5,0.35,300,1.249375415282427,7.8841
10,6,0.35,300,1.2367980066445514,6.9563
10,7,0.35,300,1.2591063122923893,7.7029
10,8,0.35,300,1.2757923588040156,8.614
10,9,0.35,300,1.330493355481756,9.3892
10,10,0.35,300,1.3708302325581594,9.2658
11,1,0.35,300,1.9189205980066262,12.8271
11,2,0.35,300,1.543870764119599,10.9316
11,3,0.35,300,1.2223272425249416,8.5226
11,4,0.35,300,1.1810289036545163,7.002
11,5,0.35,300,1.207470431893722,6.8465
11,6,0.35,300,1.172574418604683,6.3796
11,7,0.35,300,1.2118282392026891,6.6503
11,8,0.35,300,1.2095079734219618,7.0655
11,9,0.35,300,1.2209720930232846,7.9641
11,10,0.35,300,1.2941086378737825,8.8814
11,11,0.35,300,1.329227242524941,8.5812
12,1,0.35,300,1.929734551495009,12.9519
