w,s,p,T,avg_age,max_age
1,1,0.15,300,5.522484053156137,26.4085
2,1,0.15,300,5.546182059800671,26.4754
2,2,0.15,300,5.549334883720944,26.5397
3,1,0.15,300,5.625293023255805,26.8958
3,2,0.15,300,5.454918272425223,26.3643
3,3,0.15,300,5.460228903654493,26.2647
4,1,0.15,300,5.621779734219252,26.8714
4,2,0.15,300,5.322942524916951,26.1449
4,3,0.15,300,5.4194285714285755,26.3983
4,4,0.15,300,5.458081395348855,26.5121
5,1,0.15,300,5.795564119601332,27.8617
5,2,0.15,300,5.4704199335548225,26.5996
5,3,0.15,300,5.150376411960117,25.8833
5,4,0.15,300,5.341499335548162,26.2109
5,5,0.15,300,5.320308970099671,26.0212
6,1,0.15,300,5.7850358803986826,27.8349
6,2,0.15,300,5.423127906976734,26.5699
6,3,0.15,300,5.054635215946882,25.4617
6,4,0.15,300,5.092337873754121,25.6116
6,5,0.15,300,5.291610299003318,26.0467
6,6,0.15,300,5.306459136212639,26.1123
7,1,0.15,300,6.019280066445158,29.467
7,2,0.15,300,5.373004318936869,26.3159
7,3,0.15,300,5.22208671096344,26.3084
7,4,0.15,300,4.848571096345516,25.0805
7,5,0.15,300,5.040728239202646,25.5875
7,6,0.15,300,5.214303322259144,25.9781
7,7,0.15,300,5.210064451827264,25.8819
8,1,0.15,300,6.043721262458474,29.7014
8,2,0.15,300,5.563351495016616,27.3758
8,3,0.15,300,5.161143853820595,26.0717
8,4,0.15,300,4.7602823920265624,24.46
8,5,0.15,300,4.6118488372093,24.4096
8,6,0.15,300,5.058309302325598,25.6674
8,7,0.15,300,5.13484086378738,25.8404
8,8,0.15,300,5.121711295681058,25.6177
9,1,0.15,300,6.343481395348825,31.9006
9,2,0.15,300,5.531020265780715,27.3487
9,3,0.15,300,5.071719601328899,25.7406
9,4,0.15,300,5.04110963455147,25.8432
9,5,0.15,300,4.533404318936895,24.0393
9,6,0.15,300,4.636847840531568,24.3557
9,7,0.15,300,4.95447408637874,25.3433
9,8,0.15,300,5.04358006644518,25.5751
9,9,0.15,300,5.043303654485025,25.3975
10,1,0.15,300,6.458402325581396,32.6805
10,2,0.15,300,5.514647176079753,27.3721
10,3,0.15,300,5.016570431893671,25.4962
10,4,0.15,300,4.838315946843857,25.2701
10,5,0.15,300,4.555561129568106,23.6254
10,6,0.15,300,4.371167441860477,23.358
10,7,0.15,300,4.686478405315623,24.5629
10,8,0.15,300,4.908574086378746,25.309
10,9,0.15,300,4.949016611295674,25.3451
10,10,0.15,300,4.9902923588039965,25.3344
11,1,0.15,300,6.830292691029911,35.325
11,2,0.15,300,5.705651495016623,28.4972
11,3,0.15,300,5.248032225913652,26.7024
11,4,0.15,300,4.796162458471772,25.1962
11,5,0.15,300,4.592987043189349,24.4695
11,6,0.15,300,4.274850166112942,22.9934
11,7,0.15,300,4.1778292358804014,22.182
11,8,0.15,300,4.629248504983396,24.4952
11,9,0.15,300,4.821679734219259,25.0937
11,10,0.15,300,4.866673754152819,25.1021
11,11,0.15,300,4.9019109634551725,25.131
12,1,0.15,300,6.873157475083051,35.6674
12,2,0.15,300,5.679039534883725,28.5513
12,3,0.15,300,5.169339534883716,26.4491
12,4,0.15,300,4.6915046511627905,24.6144
12,5,0.15,300,4.57212026578074,24.5715
12,6,0.15,300,4.330296013289059,22.5673
12,7,0.15,300,4.1360325581395445,21.9589
12,8,0.15,300,4.289731893687706,22.6588
12,9,0.15,300,4.60271461794018,24.4263
12,10,0.15,300,4.778895348837211,24.9267
12,11,0.15,300,4.803389368770776,25.0155
12,12,0.15,300,4.817898006644516,24.9514
13,1,0.15,300,7.298960797342195,38.8639
13,2,0.15,300,5.6913069767441895,28.7391
13,3,0.15,300,5.114946179402014,26.2339
13,4,0.15,300,4.6916810631229335,24.5228
13,5,0.15,300,4.467788039867092,24.1008
13,6,0.15,300,4.512286710963456,24.0995
13,7,0.15,300,4.051927242524944,21.3543
13,8,0.15,300,4.062573089701007,20.9421
13,9,0.15,300,4.340340199335547,22.9309
13,10,0.15,300,4.54574152823918,24.1707
13,11,0.15,300,4.681389036544859,24.6818
13,12,0.15,300,4.753997674418571,24.8334
13,13,0.15,300,4.758688372093,24.797
14,1,0.15,300,7.41203455149503,39.6408
14,2,0.15,300,5.910282059800639,30.2568
14,3,0.15,300,5.128900996677754,26.1865
14,4,0.15,300,4.851823255813947,25.6773
14,5,0.15,300,4.304429235880371,23.4287
14,6,0.15,300,4.312276411960127,23.2571
14,7,0.15,300,4.165513289036559,21.5765
14,8,0.15,300,3.9798126245847256,20.5582
14,9,0.15,300,3.996501993355462,19.9641
14,10,0.15,300,4.329559468438541,23.2628
14,11,0.15,300,4.454509634551489,23.9306
14,12,0.15,300,4.629030564784058,24.4786
14,13,0.15,300,4.62916511627905,24.623
14,14,0.15,300,4.694569767441857,24.6133
15,1,0.15,300,7.909913953488379,42.9226
15,2,0.15,300,5.8854691029900135,30.278
15,3,0.15,300,5.307922259136221,27.463
15,4,0.15,300,4.795139867109647,25.4286
15,5,0.15,300,4.2853408637873835,23.1286
15,6,0.15,300,4.2198950166113045,22.9217
15,7,0.15,300,4.156535548172731,22.2759
15,8,0.15,300,3.924335548172757,20.1957
15,9,0.15,300,3.897333887043195,19.416
15,10,0.15,300,4.041142192691031,20.7653
15,11,0.15,300,4.257904983388711,22.7567
15,12,0.15,300,4.46681993355481,24.05
15,13,0.15,300,4.577603654485036,24.4116
15,14,0.15,300,4.59107408637874,24.4262
15,15,0.15,300,4.597654817275734,24.2963
16,1,0.15,300,8.03623023255814,43.8511
16,2,0.15,300,5.9684069767441645,30.9066
16,3,0.15,300,5.278519933554793,27.3342
16,4,0.15,300,4.727846179402014,25.2229
16,5,0.15,300,4.307940199335561,23.0845
16,6,0.15,300,4.125838538205982,22.4589
16,7,0.15,300,4.097354817275737,22.0014
16,8,0.15,300,4.0302843853820765,20.6931
16,9,0.15,300,3.8599073089700986,19.1978
16,10,0.15,300,3.858357807308978,18.5632
16,11,0.15,300,4.130659468438536,21.6258
16,12,0.15,300,4.217579401993367,22.605
16,13,0.15,300,4.4213342192691005,23.7553
16,14,0.15,300,4.471531561461781,24.0027
16,15,0.15,300,4.574281063122919,24.3901
16,16,0.15,300,4.588734551495003,24.0952
17,1,0.15,300,8.572247176079648,47.2989
17,2,0.15,300,6.204364451827228,32.5363
17,3,0.15,300,5.251032225913614,27.3396
17,4,0.15,300,4.683230232558145,24.8898
17,5,0.15,300,4.396807973421917,24.1116
17,6,0.15,300,4.029784717607975,21.9205
17,7,0.15,300,4.028114285714289,21.6242
17,8,0.15,300,4.079310963455159,21.7357
17,9,0.15,300,3.770723920265775,18.3867
17,10,0.15,300,3.786023920265779,18.092
17,11,0.15,300,3.8607571428571523,17.9801
17,12,0.15,300,4.073839534883754,21.6613
17,13,0.15,300,4.193818272425259,22.4254
17,14,0.15,300,4.298928571428584,23.3191
17,15,0.15,300,4.457382392026587,23.8618
17,16,0.15,300,4.494719269102994,23.9653
17,17,0.15,300,4.516220598006636,23.5999
18,1,0.15,300,8.724826910299,48.1737
18,2,0.15,300,6.208584717607969,32.6406
18,3,0.15,300,5.281520598006643,27.5423
18,4,0.15,300,4.709324916943521,25.0134
18,5,0.15,300,4.372124252491682,24.1186
18,6,0.15,300,3.9508116279069667,21.1313
18,7,0.15,300,3.914863787375407,20.8539
18,8,0.15,300,3.9422667774086317,20.8746
18,9,0.15,300,3.8979348837209224,19.7013
18,10,0.15,300,3.7129375415282366,17.6605
18,11,0.15,300,3.7971308970099686,17.6968
18,12,0.15,300,3.9177392026577866,19.1653
18,13,0.15,300,4.017332890365456,21.1914
18,14,0.15,300,4.0887388704319,21.949
18,15,0.15,300,4.328421262458494,23.482
18,16,0.15,300,4.371979069767439,23.5211
18,17,0.15,300,4.406497674418627,23.3143
18,18,0.15,300,4.450402325581398,23.2081
19,1,0.15,300,9.347809634551464,51.9498
19,2,0.15,300,6.260282059800658,33.153
19,3,0.15,300,5.415233554817254,28.5579
19,4,0.15,300,4.842386710963453,26.0778
19,5,0.15,300,4.293382724252509,23.7407
19,6,0.15,300,3.9861099667773967,21.2835
19,7,0.15,300,3.7183963455149556,19.3405
19,8,0.15,300,3.91097408637874,20.7672
19,9,0.15,300,3.8532936877076347,19.772
19,10,0.15,300,3.6627106312292295,17.4799
19,11,0.15,300,3.680969102990043,16.8372
19,12,0.15,300,3.7892843853820524,17.3487
19,13,0.15,300,3.9036265780731,19.6174
19,14,0.15,300,3.8953159468438576,19.9985
19,15,0.15,300,4.1027843853820585,22.0515
19,16,0.15,300,4.215206644518235,22.7679
19,17,0.15,300,4.2996913621262385,23.0
19,18,0.15,300,4.352087375415288,22.981
19,19,0.15,300,4.405834883720914,22.7664
20,1,0.15,300,9.467130897009959,52.7408
20,2,0.15,300,6.565337873754158,35.3033
20,3,0.15,300,5.398657142857146,28.3607
20,4,0.15,300,4.802529900332237,25.933
20,5,0.15,300,4.227139534883727,23.1982
20,6,0.15,300,4.132767441860462,22.7213
20,7,0.15,300,3.6833036544850324,18.9262
20,8,0.15,300,3.774214285714279,19.5078
20,9,0.15,300,3.8073983388704464,19.3829
20,10,0.15,300,3.7840661129568143,18.8737
20,11,0.15,300,3.6483215946843863,16.7097
20,12,0.15,300,3.6929388704319086,16.5925
20,13,0.15,300,3.7900724252491536,16.8951
20,14,0.15,300,3.796872757475075,19.4678
20,15,0.15,300,3.9384990033222445,20.1968
20,16,0.15,300,4.050688039867121,21.5945
20,17,0.15,300,4.168029900332218,22.3813
20,18,0.15,300,4.240168770764151,22.5452
20,19,0.15,300,4.296626245847175,22.4202
20,20,0.15,300,4.302237873754152,22.2394
21,1,0.15,300,10.199844850498344,56.6789
21,2,0.15,300,6.53477906976744,35.3473
21,3,0.15,300,5.3992926910298955,28.5376
21,4,0.15,300,4.756904651162797,25.6244
21,5,0.15,300,4.190187707641174,22.7414
21,6,0.15,300,4.048768438538212,22.2753
21,7,0.15,300,3.7597172757475104,19.151
21,8,0.15,300,3.716992358803984,18.5579
21,9,0.15,300,3.7517827242524864,18.9665
21,10,0.15,300,3.8706378737541556,19.492
21,11,0.15,300,3.619951495016628,16.2955
21,12,0.15,300,3.619710299003322,16.0866
21,13,0.15,300,3.7304242524917237,16.5714
21,14,0.15,300,3.839273089701001,18.1477
21,15,0.15,300,3.833394684385394,19.1472
21,16,0.15,300,3.892782059800662,19.8072
21,17,0.15,300,4.017383720930216,21.2271
21,18,0.15,300,4.118510631229239,21.9493
21,19,0.15,300,4.212698338870427,22.1997
21,20,0.15,300,4.283752159468436,22.3011
21,21,0.15,300,4.286757807308965,21.6797
22,1,0.15,300,10.369468770764126,57.718
22,2,0.15,300,6.6335518272425205,36.0969
22,3,0.15,300,5.402154485049855,28.7003
22,4,0.15,300,4.727991029900325,25.4368
